Subject,Course,Course,CourseGPA,StudentGPA,ACG,Course Degree,Prerequisite 1,Degree of Prereq 1,Prerequisite 1.5,Degree of Prereq 1.5,Prerequisite 2,Degree of Prereq 2,Prerequisite 2.5,Degree of Prereq 2.5,Prerequisite 3,Degree of Prereq 3,Difficulty Score,Offered In Fall,Offered In Spring,Offered In Summer
AAAD-A,290,AAAD-A 290,3.239,2.745,4.032,1,,0,,0,,0,,0,,0,0.5680342694,TRUE,FALSE,FALSE
AAAD-A,295,AAAD-A 295,3.429,2.873,4.079,1,,0,,0,,0,,0,,0,0.431296486,TRUE,TRUE,FALSE
AAAD-A,297,AAAD-A 297,3.277,2.932,3.819,1,,0,,0,,0,,0,,0,1.196116528,TRUE,FALSE,FALSE
AAAD-A,337,AAAD-A 337,2.906,3.035,3.272,2,AAAD-A 120,1,,0,,0,,0,,0,2.810987301,TRUE,TRUE,FALSE
AAAD-A,338,AAAD-A 338,3.641,3.098,4.016,2,AAAD-A 100,1,,0,,0,,0,,0,0.6153114917,TRUE,TRUE,FALSE
AAAD-A,339,AAAD-A 339,4,3.47,3.939,2,AAAD-A 110,1,,0,,0,,0,,0,0.8425291018,TRUE,TRUE,FALSE
AAAD-A,350,AAAD-A 350,3.9,2.879,4.629,1,,0,,0,,0,,0,,0,0,TRUE,FALSE,FALSE
AAAD-A,352,AAAD-A 352,3.875,3.195,4.145,1,,0,,0,,0,,0,,0,0.2366442127,FALSE,TRUE,FALSE
AAAD-A,355,AAAD-A 355,2.425,2.066,4.011,1,,0,,0,,0,,0,,0,0.6305218261,TRUE,FALSE,FALSE
AAAD-A,356,AAAD-A 356,2.743,2.923,3.207,1,,0,,0,,0,,0,,0,3.00331896,FALSE,TRUE,FALSE
AAAD-A,379,AAAD-A 379,2.812,2.891,3.324,1,,0,,0,,0,,0,,0,2.657961065,TRUE,FALSE,FALSE
AAAD-A,380,AAAD-A 380,2.844,2.795,3.477,1,,0,,0,,0,,0,,0,2.205701031,TRUE,TRUE,FALSE
AAAD-A,382,AAAD-A 382,2.6,2.868,3.098,1,,0,,0,,0,,0,,0,3.324580091,FALSE,TRUE,FALSE
AAAD-A,386,AAAD-A 386,3.454,3.287,3.591,1,,0,,0,,0,,0,,0,1.870218431,FALSE,TRUE,FALSE
AAAD-A,387,AAAD-A 387,3.024,2.587,3.995,1,,0,,0,,0,,0,,0,0.6793617879,TRUE,FALSE,FALSE
AAAD-A,388,AAAD-A 388,3.657,3.764,3.320,1,,0,,0,,0,,0,,0,2.66906172,FALSE,FALSE,TRUE
AAAD-A,398,AAAD-A 398,2.482,2.909,2.916,1,,0,,0,,0,,0,,0,3.862371427,FALSE,TRUE,FALSE
AAAD-A,399,AAAD-A 399,1.955,2.481,2.693,1,,0,,0,,0,,0,,0,4,FALSE,TRUE,FALSE
AAAD-A,427,AAAD-A 427,2.869,2.581,3.799,1,,0,,0,,0,,0,,0,1.257440857,TRUE,FALSE,FALSE
AAAD-A,481,AAAD-A 481,3.671,3.14,3.995,1,,0,,0,,0,,0,,0,0.6774789508,FALSE,TRUE,FALSE
AAST-A,101,AAST-A 101,3.853,3.743,3.518,1,,0,,0,,0,,0,,0,2.086158112,TRUE,TRUE,FALSE
AAST-A,201,AAST-A 201,3.923,3.759,3.566,1,,0,,0,,0,,0,,0,1.942583899,TRUE,FALSE,FALSE
AAST-A,300,AAST-A 300,4,3.872,3.530,1,,0,,0,,0,,0,,0,2.049160043,FALSE,TRUE,FALSE
AAST-A,320,AAST-A 320,3.853,3.193,4.124,1,,0,,0,,0,,0,,0,0.2984517347,FALSE,TRUE,FALSE
ABEH-A,200,ABEH-A 200,3.959,3.22,4.202,1,,0,,0,,0,,0,,0,0.06856914764,TRUE,TRUE,FALSE
ABEH-A,350,ABEH-A 350,3.041,3.018,3.443,1,,0,,0,,0,,0,,0,2.305618835,TRUE,FALSE,FALSE
ABEH-A,400,ABEH-A 400,3.58,3.139,3.897,2,ABEH-A 200,1,,0,BIOL-Z 460,1,,0,,0,0.966006729,TRUE,TRUE,FALSE
ABEH-A,401,ABEH-A 401,3.76,3.224,3.985,1,,0,,0,,0,,0,,0,0.7062652943,FALSE,TRUE,FALSE
AERO-A,102,AERO-A 102,3.769,3.361,3.832,1,,0,,0,,0,,0,,0,1.158557273,FALSE,TRUE,FALSE
AERO-A,151,AERO-A 151,3.436,3.096,3.793,1,,0,,0,,0,,0,,0,1.275241256,TRUE,FALSE,FALSE
AERO-A,201,AERO-A 201,4,3.943,3.467,1,,0,,0,,0,,0,,0,2.236706753,TRUE,FALSE,FALSE
AERO-A,202,AERO-A 202,3.808,3.299,3.945,1,,0,,0,,0,,0,,0,0.8268873854,FALSE,TRUE,FALSE
AERO-A,301,AERO-A 301,4,3.175,4.305,1,,0,,0,,0,,0,,0,0,TRUE,FALSE,FALSE
AERO-A,302,AERO-A 302,3.808,3.212,4.051,1,,0,,0,,0,,0,,0,0.5116689735,FALSE,TRUE,FALSE
AERO-A,401,AERO-A 401,4,3.321,4.116,1,,0,,0,,0,,0,,0,0.3210929406,TRUE,FALSE,FALSE
AFRI-B,101,AFRI-B 101,3.783,3.481,3.714,1,,0,,0,,0,,0,,0,1.507760303,TRUE,FALSE,FALSE
AFRI-B,102,AFRI-B 102,3.95,3.497,3.860,1,,0,,0,,0,,0,,0,1.076416342,FALSE,TRUE,FALSE
AFRI-B,201,AFRI-B 201,3.95,3.941,3.425,2,AFRI-B 102,1,,0,,0,,0,,0,2.359429868,TRUE,FALSE,FALSE
AFRI-B,202,AFRI-B 202,3.855,3.057,4.309,1,,0,,0,,0,,0,,0,0,FALSE,TRUE,FALSE
AFRI-B,302,AFRI-B 302,3.847,3.122,4.211,1,,0,,0,,0,,0,,0,0.04114742429,FALSE,TRUE,FALSE
AFRI-K,202,AFRI-K 202,3.847,3.252,4.043,1,,0,,0,,0,,0,,0,0.5377801561,FALSE,TRUE,FALSE
AFRI-L,100,AFRI-L 100,3.804,3.129,4.155,1,,0,,0,,0,,0,,0,0.2074934593,TRUE,TRUE,TRUE
AFRI-L,202,AFRI-L 202,3.305,3.423,3.300,1,,0,,0,,0,,0,,0,2.730013165,FALSE,FALSE,TRUE
AFRI-L,232,AFRI-L 232,3.96,2.782,4.864,1,,0,,0,,0,,0,,0,0,TRUE,TRUE,FALSE
AFRI-L,400,AFRI-L 400,2.75,2.867,3.278,1,,0,,0,,0,,0,,0,2.793898957,TRUE,TRUE,FALSE
AFRI-S,101,AFRI-S 101,3.677,3.148,3.992,1,,0,,0,,0,,0,,0,0.6882172312,TRUE,FALSE,FALSE
AFRI-S,102,AFRI-S 102,3.4,2.079,5.589,2,AFRI-S 101,1,,0,,0,,0,,0,0,FALSE,TRUE,FALSE
AFRI-S,201,AFRI-S 201,3.288,2.996,3.750,3,AFRI-S 102,2,,0,,0,,0,,0,1.399814682,TRUE,FALSE,FALSE
AFRI-S,202,AFRI-S 202,3.885,3.164,4.196,1,,0,,0,,0,,0,,0,0.08497280268,FALSE,TRUE,FALSE
AFRI-S,90,AFRI-S 90,3.975,3.468,3.917,1,,0,,0,,0,,0,,0,0.9085065076,FALSE,FALSE,TRUE
AFRI-Y,101,AFRI-Y 101,3.374,2.88,4.004,1,,0,,0,,0,,0,,0,0.6530852092,TRUE,FALSE,FALSE
AFRI-Y,102,AFRI-Y 102,3.464,2.855,4.146,1,,0,,0,,0,,0,,0,0.2318306745,FALSE,TRUE,FALSE
AFRI-Y,201,AFRI-Y 201,3.469,2.834,4.183,2,AFRI-Y 102,1,,0,,0,,0,,0,0.1233977013,TRUE,FALSE,FALSE
AFRI-Z,101,AFRI-Z 101,2.624,3.056,2.934,1,,0,,0,,0,,0,,0,3.807679982,TRUE,FALSE,FALSE
AFRI-Z,102,AFRI-Z 102,3.36,3.36,3.417,1,,0,,0,,0,,0,,0,2.38245432,FALSE,TRUE,FALSE
AFRI-Z,201,AFRI-Z 201,3.7,2.99,4.229,2,AFRI-Z 102,1,,0,,0,,0,,0,0,TRUE,FALSE,FALSE
AMST-A,100,AMST-A 100,4,3.058,4.470,1,,0,,0,,0,,0,,0,0,TRUE,TRUE,TRUE
AMST-A,150,AMST-A 150,3.925,2.927,4.583,1,,0,,0,,0,,0,,0,0,TRUE,FALSE,FALSE
AMST-A,200,AMST-A 200,3.309,2.888,3.916,1,,0,,0,,0,,0,,0,0.9127223428,TRUE,TRUE,FALSE
AMST-A,201,AMST-A 201,3.32,3.179,3.569,1,,0,,0,,0,,0,,0,1.935274887,TRUE,TRUE,TRUE
AMST-A,202,AMST-A 202,3.011,2.942,3.497,1,,0,,0,,0,,0,,0,2.145993246,TRUE,TRUE,FALSE
AMST-A,275,AMST-A 275,3.405,2.921,3.984,1,,0,,0,,0,,0,,0,0.7118752307,TRUE,TRUE,FALSE
AMST-A,350,AMST-A 350,3.577,3.271,3.737,1,,0,,0,,0,,0,,0,1.439275329,TRUE,TRUE,FALSE
ANAT-A,215,ANAT-A 215,3.083,3.155,3.339,1,,0,,0,,0,,0,,0,2.612538294,TRUE,TRUE,TRUE
ANAT-A,464,ANAT-A 464,3.4,2.936,3.957,1,,0,,0,,0,,0,,0,0.7890897145,FALSE,TRUE,FALSE
ANTH-A,107,ANTH-A 107,2.34,2.637,3.032,1,,0,,0,,0,,0,,0,3.517986787,TRUE,TRUE,FALSE
ANTH-A,122,ANTH-A 122,2.981,3.1,3.286,1,,0,,0,,0,,0,,0,2.769478861,TRUE,TRUE,TRUE
ANTH-A,200,ANTH-A 200,2.699,3.154,2.924,1,,0,,0,,0,,0,,0,3.836918212,TRUE,TRUE,FALSE
ANTH-A,208,ANTH-A 208,3.122,3.416,3.123,1,,0,,0,,0,,0,,0,3.250180509,TRUE,TRUE,TRUE
ANTH-A,211,ANTH-A 211,3.652,3.764,3.316,1,,0,,0,,0,,0,,0,2.682454589,FALSE,FALSE,TRUE
ANTH-A,221,ANTH-A 221,4,3.779,3.617,1,,0,,0,,0,,0,,0,1.792839192,TRUE,FALSE,TRUE
ANTH-A,306,ANTH-A 306,2.675,2.949,3.100,1,,0,,0,,0,,0,,0,3.319215806,FALSE,TRUE,FALSE
ANTH-A,403,ANTH-A 403,3.249,3.005,3.695,1,,0,,0,,0,,0,,0,1.563803717,TRUE,FALSE,FALSE
ANTH-B,200,ANTH-B 200,3.37,2.841,4.054,1,,0,,0,,0,,0,,0,0.505137053,TRUE,TRUE,TRUE
ANTH-B,260,ANTH-B 260,3.452,3.182,3.707,1,,0,,0,,0,,0,,0,1.526960601,FALSE,TRUE,FALSE
ANTH-B,301,ANTH-B 301,2.625,3.212,2.793,2,ANTH-B 200,1,,0,,0,,0,,0,4,TRUE,TRUE,FALSE
ANTH-B,310,ANTH-B 310,3.789,3.173,4.081,2,ANTH-B 200,1,ANTH-B 301,2,,0,,0,,0,0.4251251139,FALSE,TRUE,FALSE
ANTH-B,368,ANTH-B 368,4,3.883,3.520,1,,0,,0,,0,,0,,0,2.078665556,FALSE,TRUE,FALSE
ANTH-B,370,ANTH-B 370,4,3.95,3.461,1,,0,,0,,0,,0,,0,2.254832144,FALSE,TRUE,FALSE
ANTH-B,400,ANTH-B 400,4,3.957,3.454,1,,0,,0,,0,,0,,0,2.272893408,TRUE,FALSE,FALSE
ANTH-B,464,ANTH-B 464,3.389,3.299,3.511,2,ANTH-B 200,1,ANTH-B 301,2,,0,,0,,0,2.107403192,TRUE,FALSE,FALSE
ANTH-E,101,ANTH-E 101,2.9,3.233,3.065,1,,0,,0,,0,,0,,0,3.420919085,FALSE,TRUE,FALSE
ANTH-E,200,ANTH-E 200,3.794,3.14,4.129,1,,0,,0,,0,,0,,0,0.2825411533,TRUE,TRUE,FALSE
ANTH-E,251,ANTH-E 251,3.2,3.204,3.413,1,,0,,0,,0,,0,,0,2.395041276,FALSE,TRUE,FALSE
ANTH-E,270,ANTH-E 270,2.755,3.007,3.131,1,,0,,0,,0,,0,,0,3.227383579,TRUE,FALSE,FALSE
ANTH-E,300,ANTH-E 300,3.611,3.216,3.837,1,,0,,0,,0,,0,,0,1.144130315,TRUE,TRUE,FALSE
ANTH-E,302,ANTH-E 302,3.952,3.479,3.882,1,,0,,0,,0,,0,,0,1.011698974,TRUE,FALSE,FALSE
ANTH-E,318,ANTH-E 318,3.667,3.379,3.709,1,,0,,0,,0,,0,,0,1.523129151,TRUE,FALSE,FALSE
ANTH-E,321,ANTH-E 321,3.616,3.24,3.814,1,,0,,0,,0,,0,,0,1.212426816,FALSE,TRUE,FALSE
ANTH-E,338,ANTH-E 338,2.992,3.153,3.243,1,,0,,0,,0,,0,,0,2.897274002,FALSE,TRUE,FALSE
ANTH-E,345,ANTH-E 345,1.97,2.546,2.644,1,,0,,0,,0,,0,,0,4,TRUE,FALSE,FALSE
ANTH-E,366,ANTH-E 366,3.467,3.244,3.652,1,,0,,0,,0,,0,,0,1.689384075,FALSE,TRUE,FALSE
ANTH-E,386,ANTH-E 386,3.644,3.184,3.911,1,,0,,0,,0,,0,,0,0.9258620228,TRUE,FALSE,FALSE
ANTH-E,397,ANTH-E 397,3.642,3.479,3.577,1,,0,,0,,0,,0,,0,1.910079856,TRUE,FALSE,FALSE
ANTH-E,398,ANTH-E 398,3.596,3.5,3.511,1,,0,,0,,0,,0,,0,2.105915297,FALSE,TRUE,FALSE
ANTH-E,400,ANTH-E 400,3.778,3.038,4.250,1,,0,,0,,0,,0,,0,0,FALSE,TRUE,FALSE
ANTH-E,418,ANTH-E 418,2.856,3.071,3.178,1,,0,,0,,0,,0,,0,3.088303444,TRUE,FALSE,FALSE
ANTH-E,421,ANTH-E 421,2.857,2.909,3.356,1,,0,,0,,0,,0,,0,2.562678418,FALSE,TRUE,FALSE
ANTH-E,438,ANTH-E 438,3.564,3.303,3.687,1,,0,,0,,0,,0,,0,1.585772017,TRUE,FALSE,FALSE
ANTH-E,444,ANTH-E 444,3.077,3.063,3.433,1,,0,,0,,0,,0,,0,2.336372007,TRUE,FALSE,FALSE
ANTH-E,460,ANTH-E 460,3.108,3.122,3.402,1,,0,,0,,0,,0,,0,2.427665764,TRUE,FALSE,FALSE
ANTH-L,200,ANTH-L 200,3.208,2.971,3.690,1,,0,,0,,0,,0,,0,1.578189763,TRUE,TRUE,FALSE
ANTH-L,204,ANTH-L 204,3.607,3.41,3.615,1,,0,,0,,0,,0,,0,1.799995691,FALSE,TRUE,FALSE
ANTH-L,222,ANTH-L 222,3.814,3.065,4.252,1,,0,,0,,0,,0,,0,0,FALSE,TRUE,FALSE
ANTH-L,340,ANTH-L 340,3.95,3.912,3.451,1,,0,,0,,0,,0,,0,2.284519307,TRUE,FALSE,FALSE
ANTH-L,400,ANTH-L 400,3.918,3.875,3.455,1,,0,,0,,0,,0,,0,2.270574957,FALSE,TRUE,FALSE
ANTH-P,200,ANTH-P 200,3.305,3.218,3.510,1,,0,,0,,0,,0,,0,2.109879051,TRUE,TRUE,FALSE
ANTH-P,250,ANTH-P 250,2.667,2.84,3.209,1,,0,,0,,0,,0,,0,2.996613574,TRUE,FALSE,FALSE
ANTH-P,302,ANTH-P 302,2.162,2.453,3.012,1,,0,,0,,0,,0,,0,3.578502508,TRUE,FALSE,FALSE
ANTH-P,314,ANTH-P 314,3.438,3.471,3.385,1,,0,,0,,0,,0,,0,2.478308833,FALSE,TRUE,FALSE
ANTH-P,330,ANTH-P 330,2.95,3.224,3.127,1,,0,,0,,0,,0,,0,3.239312143,TRUE,FALSE,FALSE
ANTH-P,361,ANTH-P 361,3.95,3.957,3.411,1,,0,,0,,0,,0,,0,2.400289818,FALSE,TRUE,FALSE
ANTH-P,375,ANTH-P 375,3.889,3.878,3.427,1,,0,,0,,0,,0,,0,2.353856159,TRUE,FALSE,FALSE
ANTH-P,380,ANTH-P 380,3.038,3.194,3.250,1,,0,,0,,0,,0,,0,2.874882528,TRUE,FALSE,FALSE
ANTH-P,399,ANTH-P 399,3.308,3.143,3.597,1,,0,,0,,0,,0,,0,1.853165404,TRUE,TRUE,FALSE
ANTH-X,371,ANTH-X 371,3.525,3.069,3.925,1,,0,,0,,0,,0,,0,0.8844219751,FALSE,TRUE,FALSE
ANTH-X,476,ANTH-X 476,3.046,2.8,3.718,2,ANTH-A 403,1,,0,,0,,0,,0,1.49666526,FALSE,TRUE,FALSE
ARTH-A,101,ARTH-A 101,2.474,2.906,2.909,1,,0,,0,,0,,0,,0,3.881246344,TRUE,TRUE,FALSE
ARTH-A,102,ARTH-A 102,3.9,3.17,4.204,1,,0,,0,,0,,0,,0,0.06069694211,TRUE,TRUE,TRUE
ARTH-A,155,ARTH-A 155,4,3.923,3.484,1,,0,,0,,0,,0,,0,2.184563498,FALSE,TRUE,FALSE
ARTH-A,200,ARTH-A 200,4,3.502,3.903,1,,0,,0,,0,,0,,0,0.9487274078,TRUE,TRUE,FALSE
ARTH-A,201,ARTH-A 201,3.793,3.759,3.448,1,,0,,0,,0,,0,,0,2.291261672,FALSE,FALSE,TRUE
ARTH-A,205,ARTH-A 205,4,3.878,3.525,1,,0,,0,,0,,0,,0,2.065274709,FALSE,TRUE,FALSE
ARTH-A,206,ARTH-A 206,3.933,3.667,3.665,1,,0,,0,,0,,0,,0,1.651106514,TRUE,TRUE,FALSE
ARTH-A,207,ARTH-A 207,4,3.674,3.721,1,,0,,0,,0,,0,,0,1.487848572,TRUE,TRUE,FALSE
ARTH-A,224,ARTH-A 224,3.02,3.167,3.259,1,,0,,0,,0,,0,,0,2.850429164,FALSE,TRUE,FALSE
ARTH-A,231,ARTH-A 231,2.645,3.003,3.010,1,,0,,0,,0,,0,,0,3.584389179,TRUE,FALSE,FALSE
ARTH-A,255,ARTH-A 255,3.283,3.091,3.630,1,,0,,0,,0,,0,,0,1.756193186,TRUE,FALSE,FALSE
ARTH-A,276,ARTH-A 276,2.838,3.363,2.884,1,,0,,0,,0,,0,,0,3.95638526,FALSE,TRUE,FALSE
ARTH-A,280,ARTH-A 280,4,3.37,4.056,1,,0,,0,,0,,0,,0,0.4976603445,TRUE,FALSE,FALSE
ARTH-A,282,ARTH-A 282,3.143,3.299,3.256,1,,0,,0,,0,,0,,0,2.859209609,FALSE,TRUE,FALSE
ARTH-A,290,ARTH-A 290,3.36,3.228,3.557,1,,0,,0,,0,,0,,0,1.970173016,TRUE,FALSE,FALSE
ARTH-A,300,ARTH-A 300,3.303,3.179,3.551,1,,0,,0,,0,,0,,0,1.989190138,TRUE,FALSE,FALSE
ARTH-A,303,ARTH-A 303,3.265,3.259,3.424,1,,0,,0,,0,,0,,0,2.363892519,FALSE,TRUE,FALSE
ARTH-A,315,ARTH-A 315,2.918,3.097,3.220,1,,0,,0,,0,,0,,0,2.965181214,TRUE,FALSE,FALSE
ARTH-A,316,ARTH-A 316,2.453,2.864,2.927,1,,0,,0,,0,,0,,0,3.829299443,FALSE,TRUE,FALSE
ARTH-A,336,ARTH-A 336,3.317,2.725,4.160,1,,0,,0,,0,,0,,0,0.1921299437,TRUE,FALSE,FALSE
ARTH-A,342,ARTH-A 342,3.427,2.959,3.958,1,,0,,0,,0,,0,,0,0.7878456382,TRUE,FALSE,FALSE
ARTH-A,356,ARTH-A 356,3.794,3.01,4.307,1,,0,,0,,0,,0,,0,0,FALSE,TRUE,FALSE
ARTH-A,358,ARTH-A 358,2.457,3.025,2.776,1,,0,,0,,0,,0,,0,4,FALSE,TRUE,FALSE
ARTH-A,375,ARTH-A 375,3.739,3.063,4.172,1,,0,,0,,0,,0,,0,0.1573368909,TRUE,FALSE,FALSE
ARTH-A,400,ARTH-A 400,3.483,3.376,3.526,1,,0,,0,,0,,0,,0,2.062907444,TRUE,FALSE,FALSE
ARTH-A,410,ARTH-A 410,3.306,3.092,3.654,1,,0,,0,,0,,0,,0,1.684659848,TRUE,FALSE,FALSE
ARTH-A,413,ARTH-A 413,3.229,3.225,3.422,1,,0,,0,,0,,0,,0,2.369949326,FALSE,TRUE,FALSE
ARTH-A,425,ARTH-A 425,3.419,2.993,3.904,1,,0,,0,,0,,0,,0,0.9474403843,FALSE,TRUE,FALSE
ARTH-A,428,ARTH-A 428,3.238,3.487,3.173,1,,0,,0,,0,,0,,0,3.102401502,FALSE,TRUE,FALSE
ARTH-A,443,ARTH-A 443,3.522,3.167,3.800,1,,0,,0,,0,,0,,0,1.252310991,FALSE,TRUE,FALSE
ARTH-A,446,ARTH-A 446,2.366,2.824,2.863,1,,0,,0,,0,,0,,0,4,FALSE,TRUE,FALSE
ARTH-A,490,ARTH-A 490,3.753,3.027,4.237,1,,0,,0,,0,,0,,0,0,TRUE,FALSE,FALSE
ARTH-A,499,ARTH-A 499,3.789,3.611,3.586,1,,0,,0,,0,,0,,0,1.885466495,FALSE,TRUE,FALSE
ARTH-H,100,ARTH-H 100,3.125,3.129,3.413,1,,0,,0,,0,,0,,0,2.395342977,TRUE,FALSE,FALSE
AST-A,100,AST-A 100,3.404,3.237,3.594,1,,0,,0,,0,,0,,0,1.86230623,TRUE,TRUE,TRUE
AST-A,103,AST-A 103,3.146,3.265,3.293,1,,0,,0,,0,,0,,0,2.749920194,TRUE,TRUE,FALSE
AST-A,105,AST-A 105,3.333,3.671,3.103,1,,0,,0,,0,,0,,0,3.310748339,TRUE,TRUE,FALSE
AST-A,107,AST-A 107,3.913,3.85,3.473,1,,0,,0,,0,,0,,0,2.217473653,TRUE,TRUE,TRUE
AST-A,115,AST-A 115,3.867,3.877,3.409,1,,0,,0,,0,,0,,0,2.408459355,TRUE,FALSE,FALSE
AST-A,221,AST-A 221,3.914,3.886,3.442,1,,0,,0,,0,,0,,0,2.309808861,TRUE,FALSE,FALSE
AST-A,222,AST-A 222,3.925,3.876,3.461,1,,0,,0,,0,,0,,0,2.254996776,FALSE,TRUE,FALSE
AST-A,305,AST-A 305,2.941,2.948,3.409,1,,0,,0,,0,,0,,0,2.406394301,TRUE,FALSE,FALSE
AST-A,453,AST-A 453,3.225,3.182,3.464,1,,0,,0,,0,,0,,0,2.246209024,FALSE,TRUE,FALSE
BIOL-B,364,BIOL-B 364,3.8,3.769,3.445,1,,0,,0,,0,,0,,0,2.299528688,FALSE,FALSE,TRUE
BIOL-B,371,BIOL-B 371,3.389,3.518,3.292,2,BIOL-L 112,1,BIOL-H 111,1,BIOL-L 111,1,,0,,0,2.752152329,TRUE,FALSE,FALSE
BIOL-H,111,BIOL-H 111,3.3,3.637,3.101,1,,0,,0,,0,,0,,0,3.316654263,TRUE,FALSE,FALSE
BIOL-H,112,BIOL-H 112,3.273,3.414,3.276,1,,0,,0,,0,,0,,0,2.79885251,FALSE,TRUE,FALSE
BIOL-L,104,BIOL-L 104,3.455,3.444,3.428,1,,0,,0,,0,,0,,0,2.350252325,TRUE,TRUE,TRUE
BIOL-L,111,BIOL-L 111,3.013,3.362,3.063,1,,0,,0,,0,,0,,0,3.42905486,TRUE,TRUE,FALSE
BIOL-L,112,BIOL-L 112,3.077,3.349,3.140,1,,0,,0,,0,,0,,0,3.201309297,TRUE,TRUE,TRUE
BIOL-L,113,BIOL-L 113,4,3.354,4.076,1,,0,,0,,0,,0,,0,0.4405729461,TRUE,TRUE,FALSE
BIOL-L,211,BIOL-L 211,3.533,3.677,3.284,2,BIOL-H 111,1,BIOL-L 111,1,CHEM-C 117,1,,0,,0,2.777295189,TRUE,TRUE,TRUE
BIOL-L,307,BIOL-L 307,3.758,3.158,4.067,2,BIOL-L 111,1,,0,,0,,0,,0,0.4669093103,TRUE,FALSE,FALSE
BIOL-L,311,BIOL-L 311,3.255,3.286,3.385,3,BIOL-L 211,2,BIOL-S 211,2,,0,,0,,0,2.477568961,TRUE,TRUE,TRUE
BIOL-L,312,BIOL-L 312,4,3.98,3.435,3,BIOL-L 211,2,BIOL-S 211,2,,0,,0,,0,2.33179024,TRUE,TRUE,FALSE
BIOL-L,313,BIOL-L 313,3.931,3.88,3.462,3,BIOL-L 211,2,BIOL-S 211,2,BIOL-L 113,1,,0,,0,2.24993119,TRUE,TRUE,FALSE
BIOL-L,318,BIOL-L 318,3.791,3.908,3.315,3,BIOL-L 211,2,BIOL-S 211,2,BIOL-L 111,1,,0,,0,2.684299707,TRUE,TRUE,TRUE
BIOL-L,319,BIOL-L 319,3.044,3.037,3.425,4,BIOL-L 311,3,,0,,0,,0,,0,2.359215906,TRUE,TRUE,FALSE
BIOL-L,321,BIOL-L 321,3.075,3.162,3.323,1,,0,,0,,0,,0,,0,2.659856982,FALSE,TRUE,FALSE
BIOL-L,322,BIOL-L 322,3.03,3.179,3.257,2,BIOL-L 111,1,BIOL-L 112,1,,0,,0,,0,2.855005636,TRUE,FALSE,FALSE
BIOL-L,323,BIOL-L 323,3.567,3.41,3.575,3,BIOL-L 211,2,BIOL-S 211,2,,0,,0,,0,1.918261403,TRUE,FALSE,FALSE
BIOL-L,324,BIOL-L 324,2.834,3.381,2.864,1,,0,,0,,0,,0,,0,4,FALSE,TRUE,FALSE
